GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US370810115001,370810115001,"Block Group 1, Census Tract 115, Guilford County, North Carolina",523,183,277,103,209,140,0,12,13,21,0,12,24,37,0,12,0,12,0,12
1500000US370810115002,370810115002,"Block Group 2, Census Tract 115, Guilford County, North Carolina",1010,238,478,126,509,214,0,12,0,12,0,12,0,12,23,28,0,12,23,28
1500000US370810115003,370810115003,"Block Group 3, Census Tract 115, Guilford County, North Carolina",843,283,277,125,429,251,0,12,27,76,0,12,76,120,34,44,0,12,34,44
1500000US370810116011,370810116011,"Block Group 1, Census Tract 116.01, Guilford County, North Carolina",829,202,419,131,326,148,23,36,22,35,0,12,14,24,25,32,5,7,20,25
1500000US370810116012,370810116012,"Block Group 2, Census Tract 116.01, Guilford County, North Carolina",1083,246,613,195,290,163,6,12,142,144,0,12,0,12,32,25,5,9,27,24
1500000US370810116013,370810116013,"Block Group 3, Census Tract 116.01, Guilford County, North Carolina",491,146,248,133,175,122,0,12,54,45,0,12,14,20,0,12,0,12,0,12
1500000US370810116021,370810116021,"Block Group 1, Census Tract 116.02, Guilford County, North Carolina",1453,687,198,165,553,252,0,12,265,428,0,12,128,152,309,356,0,12,309,356
1500000US370810116022,370810116022,"Block Group 2, Census Tract 116.02, Guilford County, North Carolina",1229,300,660,241,427,211,39,60,16,17,0,12,48,77,39,40,0,12,39,40
1500000US370810116023,370810116023,"Block Group 3, Census Tract 116.02, Guilford County, North Carolina",832,482,397,259,69,75,0,12,0,12,0,12,366,402,0,12,0,12,0,12
1500000US370810119041,370810119041,"Block Group 1, Census Tract 119.04, Guilford County, North Carolina",2018,318,814,186,1136,301,31,51,10,15,0,12,1,3,26,26,0,12,26,26
1500000US370810119042,370810119042,"Block Group 2, Census Tract 119.04, Guilford County, North Carolina",2695,337,684,211,1879,272,0,12,50,82,0,12,0,12,82,89,6,9,76,88
1500000US370810119051,370810119051,"Block Group 1, Census Tract 119.05, Guilford County, North Carolina",1722,421,388,267,1247,368,0,12,20,34,0,12,51,100,16,24,0,12,16,24
1500000US370810119052,370810119052,"Block Group 2, Census Tract 119.05, Guilford County, North Carolina",945,270,341,145,507,228,0,12,0,12,0,12,74,114,23,31,0,12,23,31
1500000US370810119053,370810119053,"Block Group 3, Census Tract 119.05, Guilford County, North Carolina",1709,419,475,193,1196,394,18,28,20,34,0,12,0,12,0,12,0,12,0,12
1500000US370810125031,370810125031,"Block Group 1, Census Tract 125.03, Guilford County, North Carolina",1498,381,1422,379,48,41,0,12,28,44,0,12,0,12,0,12,0,12,0,12
1500000US370810125032,370810125032,"Block Group 2, Census Tract 125.03, Guilford County, North Carolina",2922,324,2291,304,546,139,0,12,45,73,0,12,19,23,21,28,0,12,21,28
1500000US370810125041,370810125041,"Block Group 1, Census Tract 125.04, Guilford County, North Carolina",1523,186,753,170,532,184,0,12,32,35,27,44,90,120,89,86,0,12,89,86
1500000US370810125042,370810125042,"Block Group 2, Census Tract 125.04, Guilford County, North Carolina",1880,377,882,258,682,232,46,69,48,73,0,12,95,89,127,172,110,169,17,27
1500000US370810125051,370810125051,"Block Group 1, Census Tract 125.05, Guilford County, North Carolina",1597,229,1366,223,110,72,0,12,47,48,0,12,74,103,0,12,0,12,0,12
1500000US370810125052,370810125052,"Block Group 2, Census Tract 125.05, Guilford County, North Carolina",1073,149,1067,147,0,12,0,12,6,10,0,12,0,12,0,12,0,12,0,12
1500000US370810125053,370810125053,"Block Group 3, Census Tract 125.05, Guilford County, North Carolina",1973,232,1880,230,41,39,0,12,7,10,0,12,12,20,33,32,0,12,33,32
1500000US370810125081,370810125081,"Block Group 1, Census Tract 125.08, Guilford County, North Carolina",664,145,656,146,0,12,0,12,0,12,0,12,0,12,8,12,0,12,8,12
1500000US370810125082,370810125082,"Block Group 2, Census Tract 125.08, Guilford County, North Carolina",1136,159,884,174,196,184,0,12,0,12,0,12,0,12,56,54,0,12,56,54
1500000US370810125083,370810125083,"Block Group 3, Census Tract 125.08, Guilford County, North Carolina",562,123,463,119,99,102,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370810125084,370810125084,"Block Group 4, Census Tract 125.08, Guilford County, North Carolina",1122,215,966,205,88,91,0,12,43,83,0,12,25,41,0,12,0,12,0,12
1500000US370810125091,370810125091,"Block Group 1, Census Tract 125.09, Guilford County, North Carolina",2440,142,2096,167,185,140,0,12,77,68,0,12,0,12,82,65,0,12,82,65
1500000US370810125101,370810125101,"Block Group 1, Census Tract 125.10, Guilford County, North Carolina",1504,166,1280,193,113,82,0,12,85,85,0,12,0,12,26,30,0,12,26,30
1500000US370810125102,370810125102,"Block Group 2, Census Tract 125.10, Guilford County, North Carolina",1601,179,1351,153,48,41,0,12,171,150,10,22,0,12,21,24,0,12,21,24
1500000US370810125111,370810125111,"Block Group 1, Census Tract 125.11, Guilford County, North Carolina",1644,291,1609,301,35,42,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370810125112,370810125112,"Block Group 2, Census Tract 125.11, Guilford County, North Carolina",1531,302,1393,313,100,77,0,12,38,57,0,12,0,12,0,12,0,12,0,12
1500000US370810125113,370810125113,"Block Group 3, Census Tract 125.11, Guilford County, North Carolina",1332,269,1276,273,0,12,0,12,38,42,0,12,18,27,0,12,0,12,0,12
1500000US370810125114,370810125114,"Block Group 4, Census Tract 125.11, Guilford County, North Carolina",519,149,412,143,3,6,45,67,0,12,0,12,0,12,59,92,59,92,0,12
1500000US370810126011,370810126011,"Block Group 1, Census Tract 126.01, Guilford County, North Carolina",1490,344,983,272,308,200,0,12,175,205,0,12,24,37,0,12,0,12,0,12
1500000US370810126012,370810126012,"Block Group 2, Census Tract 126.01, Guilford County, North Carolina",2174,454,798,283,1187,379,0,12,122,150,0,12,29,48,38,62,0,12,38,62
1500000US370810126013,370810126013,"Block Group 3, Census Tract 126.01, Guilford County, North Carolina",770,296,449,276,296,185,0,12,0,12,0,12,0,12,25,47,0,12,25,47
1500000US370810126014,370810126014,"Block Group 4, Census Tract 126.01, Guilford County, North Carolina",1584,470,437,273,1009,403,0,12,78,85,0,12,0,12,60,87,0,12,60,87
1500000US370810126041,370810126041,"Block Group 1, Census Tract 126.04, Guilford County, North Carolina",1244,374,318,149,542,266,45,112,273,266,0,12,55,93,11,18,0,12,11,18
1500000US370810126042,370810126042,"Block Group 2, Census Tract 126.04, Guilford County, North Carolina",1038,278,302,156,445,195,0,12,272,153,0,12,0,12,19,32,19,32,0,12
1500000US370810126043,370810126043,"Block Group 3, Census Tract 126.04, Guilford County, North Carolina",1963,487,738,391,1203,316,0,12,22,33,0,12,0,12,0,12,0,12,0,12
1500000US370810126044,370810126044,"Block Group 4, Census Tract 126.04, Guilford County, North Carolina",801,388,162,111,625,365,0,12,0,12,0,12,14,17,0,12,0,12,0,12
1500000US370810126071,370810126071,"Block Group 1, Census Tract 126.07, Guilford County, North Carolina",2330,250,1334,174,627,179,16,25,116,92,15,28,182,222,40,34,1,2,39,33
1500000US370810126081,370810126081,"Block Group 1, Census Tract 126.08, Guilford County, North Carolina",2794,334,766,284,1047,284,0,12,158,108,0,12,790,311,33,26,0,12,33,26
1500000US370810126091,370810126091,"Block Group 1, Census Tract 126.09, Guilford County, North Carolina",2755,588,949,366,1246,430,78,93,430,355,0,12,30,37,22,27,17,26,5,12
1500000US370810126092,370810126092,"Block Group 2, Census Tract 126.09, Guilford County, North Carolina",2506,548,642,252,1363,517,0,12,102,118,0,12,399,383,0,12,0,12,0,12
1500000US370810126093,370810126093,"Block Group 3, Census Tract 126.09, Guilford County, North Carolina",2324,655,753,283,1033,493,16,25,377,239,19,31,91,91,35,64,0,12,35,64
1500000US370810126094,370810126094,"Block Group 4, Census Tract 126.09, Guilford County, North Carolina",757,369,377,205,184,221,0,12,183,277,0,12,13,21,0,12,0,12,0,12
