GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1500000US370810160092,370810160092,"Block Group 2, Census Tract 160.09, Guilford County, North Carolina",47.2,6.0,47.5,4.6,45.8,9.0
1500000US370810160101,370810160101,"Block Group 1, Census Tract 160.10, Guilford County, North Carolina",48.1,10.0,34.8,23.4,55.1,8.3
1500000US370810160102,370810160102,"Block Group 2, Census Tract 160.10, Guilford County, North Carolina",47.0,15.4,41.3,16.9,48.0,11.0
1500000US370810160111,370810160111,"Block Group 1, Census Tract 160.11, Guilford County, North Carolina",30.3,4.8,26.8,5.5,33.8,5.1
1500000US370810160112,370810160112,"Block Group 2, Census Tract 160.11, Guilford County, North Carolina",28.8,6.0,28.3,1.7,42.9,8.0
1500000US370810160113,370810160113,"Block Group 3, Census Tract 160.11, Guilford County, North Carolina",43.6,17.8,53.6,12.5,41.9,10.9
1500000US370810160114,370810160114,"Block Group 4, Census Tract 160.11, Guilford County, North Carolina",29.4,21.1,27.6,16.8,37.8,20.5
1500000US370810161011,370810161011,"Block Group 1, Census Tract 161.01, Guilford County, North Carolina",68.6,4.8,66.7,3.6,70.4,4.7
1500000US370810161012,370810161012,"Block Group 2, Census Tract 161.01, Guilford County, North Carolina",27.4,13.5,23.2,9.0,32.6,20.9
1500000US370810161021,370810161021,"Block Group 1, Census Tract 161.02, Guilford County, North Carolina",29.7,6.3,35.7,6.6,26.9,5.0
1500000US370810161022,370810161022,"Block Group 2, Census Tract 161.02, Guilford County, North Carolina",34.3,14.9,32.2,17.7,36.4,16.3
1500000US370810161023,370810161023,"Block Group 3, Census Tract 161.02, Guilford County, North Carolina",41.4,17.8,38.9,20.3,44.3,25.4
1500000US370810161031,370810161031,"Block Group 1, Census Tract 161.03, Guilford County, North Carolina",47.6,8.0,45.2,4.7,54.8,11.2
1500000US370810161032,370810161032,"Block Group 2, Census Tract 161.03, Guilford County, North Carolina",42.9,14.9,42.8,14.2,44.1,26.5
1500000US370810161033,370810161033,"Block Group 3, Census Tract 161.03, Guilford County, North Carolina",34.5,15.2,34.8,31.0,33.6,13.9
1500000US370810162011,370810162011,"Block Group 1, Census Tract 162.01, Guilford County, North Carolina",51.1,6.1,50.9,5.6,51.3,8.0
1500000US370810162012,370810162012,"Block Group 2, Census Tract 162.01, Guilford County, North Carolina",49.2,5.6,49.2,4.4,50.3,10.0
1500000US370810162031,370810162031,"Block Group 1, Census Tract 162.03, Guilford County, North Carolina",54.9,3.4,51.7,3.5,56.8,6.0
1500000US370810162041,370810162041,"Block Group 1, Census Tract 162.04, Guilford County, North Carolina",36.7,1.9,37.8,8.0,34.1,7.3
1500000US370810162051,370810162051,"Block Group 1, Census Tract 162.05, Guilford County, North Carolina",37.8,3.9,37.2,3.9,38.6,6.1
1500000US370810163031,370810163031,"Block Group 1, Census Tract 163.03, Guilford County, North Carolina",49.3,6.7,45.4,3.0,54.7,4.0
1500000US370810163032,370810163032,"Block Group 2, Census Tract 163.03, Guilford County, North Carolina",54.2,11.3,44.7,6.5,60.2,3.8
1500000US370810163041,370810163041,"Block Group 1, Census Tract 163.04, Guilford County, North Carolina",49.3,2.7,49.5,2.6,48.6,3.6
